tipo,NUM_TESIS,ID,AÑO,TABLAS,DIAGRAMAS,ANALITICAS,PAGS,NUM_TOT,NUM_GRAFICA,DISPERSION,BARRAS,MAPAS,CIRCULAR,SERIE_TIEMPO,HISTOGRAMA,CAJAB,OTRAS,3D,REJILLA,TRAMA,ETIQUETAS,FONDO_OBS,MARCO,OTRO,1VAR,2VAR,3+VAR,SI_EXPLIC,NO_EXPLIC,MULTI_NUM,PAG,OBSERVACIONES
1,10,IAC-1998-AZQ,1998,8,0,4,94,95,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,73,
1,10,IAC-1998-AZQ,1998,8,0,4,94,96,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,73,
1,10,IAC-1998-AZQ,1998,8,0,4,94,97,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,74,
1,10,IAC-1998-AZQ,1998,8,0,4,94,98,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,74,
1,10,IAC-1998-AZQ,1998,8,0,4,94,99,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,75,
1,10,IAC-1998-AZQ,1998,8,0,4,94,100,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,75,
1,10,IAC-1998-AZQ,1998,8,0,4,94,101,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,76,
1,10,IAC-1998-AZQ,1998,8,0,4,94,102,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,76,
1,10,IAC-1998-AZQ,1998,8,0,4,94,103,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,77,
1,10,IAC-1998-AZQ,1998,8,0,4,94,104,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,77,
1,10,IAC-1998-AZQ,1998,8,0,4,94,105,13,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,78,
1,11,IAC-1999-BAM,1999,10,0,0,49,106,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,21,
1,11,IAC-1999-BAM,1999,10,0,0,49,107,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,22,
1,11,IAC-1999-BAM,1999,10,0,0,49,108,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,32,
